Month,Customer_Collections_mm,Vendor_Payments_mm,Wire_Volume_mm,ACH_Volume_mm,FX_Notional_mm,Average_Operating_Cash_mm
Jan,20.0,12.5,1.8,11.6,3.6,45.0
Feb,20.65,12.85,1.88,11.98,3.82,46.2
Mar,22.5,13.2,1.96,13.05,4.28,47.4
Apr,21.95,13.55,2.04,12.73,4.28,48.6
May,22.6,13.9,2.12,13.11,4.52,49.8
Jun,24.45,14.25,2.2,14.18,5.01,51.0
Jul,23.9,14.6,2.28,13.86,5.02,52.2
Aug,24.55,14.95,2.36,14.24,5.28,53.4
Sep,26.4,15.3,2.44,15.31,5.81,54.6
Oct,25.85,15.65,2.52,14.99,5.82,55.8
Nov,26.5,16.0,2.6,15.37,6.09,57.0
Dec,28.35,16.35,2.68,16.44,6.66,58.2
