Company,Vertical,Status,Revenue_mm,Revenue_Growth_pct,EBITDA_Margin_pct,FCF_Margin_pct,Cash_mm,Debt_mm,Net_Leverage_x,Current_Ratio_x,NRR_pct,International_Revenue_pct,Risk_Flags,Estimated_Wallet_mm,Credit_Score,Opportunity_Score,Coverage_Priority_Score,Priority_Tier
AetherGrid Systems,Cloud / AI Observability,Client,255,17.0,12.9,7.5,48,80,0.97,1.8,112,18,1,1.2,71.3,37.0,59.3,Tier 3
CipherNorth Security,Cybersecurity,Prospect,410,21.0,18.0,14.0,92,105,0.18,2.1,118,28,0,1.65,86.5,52.9,74.7,Tier 2
LedgerSpring,Fintech Infrastructure,Prospect,185,29.0,7.0,-2.0,36,70,2.63,1.4,121,12,2,1.05,58.5,30.2,48.6,Tier 3
VectorMesh AI,AI Data Infrastructure,Prospect,132,48.0,-6.0,-18.0,74,20,9.9,3.2,126,9,3,0.82,43.1,23.3,36.2,Tier 3
CoreTransit Software,Vertical SaaS,Client,305,11.0,22.0,17.0,61,45,0.0,2.4,108,7,0,1.15,85.6,29.4,65.9,Tier 2
HelioStack Cloud,Cloud Services,Client,780,15.0,16.0,10.0,125,260,1.08,1.6,111,35,1,2.4,71.3,73.5,72.0,Tier 2
NexaCommerce,Commerce Enablement,Prospect,520,9.0,13.0,8.0,68,155,1.29,1.5,104,14,2,1.55,62.1,42.3,55.2,Tier 3
QuantumRoute Networks,Network Software,Client,940,7.0,20.0,15.0,170,325,0.82,1.9,106,42,1,2.75,74.4,85.4,78.2,Tier 1
PrismOps,DevOps / Automation,Prospect,225,18.0,10.0,6.0,44,65,0.93,1.7,113,20,1,0.95,69.5,32.8,56.7,Tier 3
NovaHealthTech,Healthcare Technology,Client,610,13.0,15.0,9.0,115,190,0.82,1.8,109,6,1,1.9,71.6,45.2,62.4,Tier 2
SignalForge,Data & Analytics,Prospect,72,34.0,2.0,-6.0,29,15,0.0,2.5,124,10,2,0.48,75.5,16.5,54.8,Tier 3
AtlasEdge Systems,Edge Computing,Client,1180,5.0,24.0,18.0,210,360,0.53,2.0,103,46,1,3.1,76.4,95.4,83.0,Tier 1
